commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,mode_paiement,region_livraison,devise,source,annees,mois,trimestre,jour_semaine,montant_attendu,ville,region,segment,date_inscription,nom,categorie,fournisseur,tranche_montant,saison,est_annulee,ca_perdu,delai_inscription_commande
CMD-Q1-00001,CLI0496,PRD0081,1.0,49.36,49.36,2024-03-18,annulée,CB,Occitanie,EUR,Q1_2024,2024,3,1,0,49.36,Marseille,PACA,Particulier,2021-07-26,Produit_Acc_81,Accessoires,ElecPlus,Petit,Printemps,True,49.36,966 days
CMD-Q1-00002,CLI0305,PRD0058,5.0,118.62,593.1,2024-01-23,livrée,CB,Occitanie,EUR,Q1_2024,2024,1,1,1,593.1,Nantes,Nouvelle-Aquitaine,Startup,2023-03-31,Produit_Aud_58,Audio,TechPro,Grand,Hiver,False,0.0,298 days
CMD-Q1-00003,CLI0044,PRD0128,7.0,99.94,699.58,2024-01-15,livrée,PayPal,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,0,699.5799999999999,Nantes,PACA,Particulier,2020-07-12,Produit_Rés_128,Réseau,MediaShop,Grand,Hiver,False,0.0,1282 days
CMD-Q1-00004,CLI0381,PRD0061,8.0,75.83,606.64,2024-01-17,annulée,PayPal,PACA,EUR,Q1_2024,2024,1,1,2,606.64,Lyon,Auvergne-RA,Particulier,2023-01-07,Produit_Aud_61,Audio,DataStore,Grand,Hiver,True,606.64,375 days
CMD-Q1-00005,CLI0187,PRD0040,4.0,71.91,287.64,2024-03-20,en_cours,CB,Occitanie,EUR,Q1_2024,2024,3,1,2,287.64,Montpellier,Île-de-France,Particulier,2020-10-24,Produit_Tél_40,Téléphonie,TechPro,Moyen,Printemps,False,0.0,1243 days
CMD-Q1-00006,CLI0450,PRD0045,9.0,55.24,497.16,2024-01-08,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,1,1,0,497.16,Nantes,Auvergne-RA,Particulier,2023-06-29,Produit_Tél_45,Téléphonie,ElecPlus,Moyen,Hiver,False,0.0,193 days
CMD-Q1-00007,CLI0098,PRD0060,7.0,436.88,3058.16,2024-02-12,annulée,Virement,Auvergne-RA,EUR,Q1_2024,2024,2,1,0,3058.16,Paris,Occitanie,Particulier,2021-12-10,Produit_Aud_60,Audio,DataStore,Très grand,Hiver,True,3058.16,794 days
CMD-Q1-00008,CLI0112,PRD0006,9.0,79.23,713.07,2024-03-03,livrée,CB,Île-de-France,EUR,Q1_2024,2024,3,1,6,713.07,Lyon,Île-de-France,PME,2022-01-22,Produit_Inf_6,Informatique,ElecPlus,Grand,Printemps,False,0.0,771 days
CMD-Q1-00009,CLI0193,PRD0022,3.0,235.27,705.81,2024-03-24,livrée,Virement,Occitanie,EUR,Q1_2024,2024,3,1,6,705.8100000000001,Strasbourg,Occitanie,Grand Compte,2023-12-26,Produit_Inf_22,Informatique,DataStore,Grand,Printemps,False,0.0,89 days
CMD-Q1-00010,CLI0279,PRD0073,9.0,200.41,1803.69,2024-03-14,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,3,1,3,1803.69,Strasbourg,PACA,PME,2020-10-09,Produit_Aud_73,Audio,TechPro,Grand,Printemps,False,0.0,1252 days
CMD-Q1-00011,CLI0094,PRD0058,9.0,118.62,1067.58,2024-02-10,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,2,1,5,1067.58,Lyon,Île-de-France,Particulier,2020-03-13,Produit_Aud_58,Audio,TechPro,Grand,Hiver,False,0.0,1429 days
CMD-Q1-00012,CLI0121,PRD0076,2.0,211.08,422.16,2024-02-11,annulée,CB,Île-de-France,EUR,Q1_2024,2024,2,1,6,422.16,Montpellier,Nouvelle-Aquitaine,Particulier,2022-03-26,Produit_Acc_76,Accessoires,TechPro,Moyen,Hiver,True,422.16,687 days
CMD-Q1-00013,CLI0474,PRD0130,4.0,186.38,745.52,2024-02-28,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,2,745.52,Lille,Nouvelle-Aquitaine,Particulier,2020-04-25,Produit_Rés_130,Réseau,DataStore,Grand,Hiver,False,0.0,1404 days
CMD-Q1-00014,CLI0208,PRD0090,5.0,80.66,403.3,2024-02-05,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,0,403.29999999999995,Bordeaux,Auvergne-RA,Particulier,2021-07-14,Produit_Acc_90,Accessoires,TechPro,Moyen,Hiver,False,0.0,936 days
CMD-Q1-00015,CLI0228,PRD0143,3.0,104.0,312.0,2024-02-16,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,2,1,4,312.0,Paris,Occitanie,Grand Compte,2023-05-08,Produit_Rés_143,Réseau,TechPro,Moyen,Hiver,False,0.0,284 days
CMD-Q1-00016,CLI0224,PRD0150,2.0,81.48,162.96,2024-01-16,livrée,Chèque,Occitanie,EUR,Q1_2024,2024,1,1,1,162.96,Nice,Occitanie,Startup,2021-09-16,Produit_Rés_150,Réseau,MediaShop,Moyen,Hiver,False,0.0,852 days
CMD-Q1-00017,CLI0231,PRD0073,4.0,200.41,801.64,2024-01-19,livrée,Chèque,Île-de-France,EUR,Q1_2024,2024,1,1,4,801.64,Marseille,PACA,Particulier,2022-02-11,Produit_Aud_73,Audio,TechPro,Grand,Hiver,False,0.0,707 days
CMD-Q1-00018,CLI0477,PRD0068,6.0,12.48,74.88,2024-02-13,livrée,PayPal,Auvergne-RA,EUR,Q1_2024,2024,2,1,1,74.88,Nice,PACA,Startup,2023-12-08,Produit_Aud_68,Audio,TechPro,Petit,Hiver,False,0.0,67 days
CMD-Q1-00019,CLI0181,PRD0095,3.0,106.83,320.49,2024-02-01,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,2,1,3,320.49,Toulouse,Nouvelle-Aquitaine,Particulier,2020-02-12,Produit_Acc_95,Accessoires,MediaShop,Moyen,Hiver,False,0.0,1450 days
CMD-Q1-00020,CLI0395,PRD0129,8.0,124.46,995.68,2024-03-25,en_cours,CB,Auvergne-RA,EUR,Q1_2024,2024,3,1,0,995.68,Nantes,Occitanie,Particulier,2020-05-16,Produit_Rés_129,Réseau,ElecPlus,Grand,Printemps,False,0.0,1409 days
CMD-Q1-00021,CLI0106,PRD0130,7.0,186.38,1304.66,2024-01-24,livrée,CB,PACA,EUR,Q1_2024,2024,1,1,2,1304.6599999999999,Bordeaux,Occitanie,Particulier,2021-04-21,Produit_Rés_130,Réseau,DataStore,Grand,Hiver,False,0.0,1008 days
CMD-Q1-00022,CLI0144,PRD0049,2.0,65.78,131.56,2024-01-02,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,1,131.56,Nice,Auvergne-RA,Particulier,2022-09-20,Produit_Tél_49,Téléphonie,TechPro,Moyen,Hiver,False,0.0,469 days
CMD-Q1-00023,CLI0185,PRD0022,5.0,235.27,1176.35,2024-03-24,en_cours,CB,Auvergne-RA,EUR,Q1_2024,2024,3,1,6,1176.3500000000001,Nice,Nouvelle-Aquitaine,Particulier,2020-01-02,Produit_Inf_22,Informatique,DataStore,Grand,Printemps,False,0.0,1543 days
CMD-Q1-00024,CLI0039,PRD0020,9.0,304.72,2742.48,2024-02-29,en_cours,Virement,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,3,2742.4800000000005,Bordeaux,Auvergne-RA,Particulier,2023-10-24,Produit_Inf_20,Informatique,TechPro,Très grand,Hiver,False,0.0,128 days
CMD-Q1-00025,CLI0359,PRD0125,4.0,31.95,127.8,2024-01-24,livrée,CB,Occitanie,EUR,Q1_2024,2024,1,1,2,127.8,Lyon,Nouvelle-Aquitaine,PME,2020-02-22,Produit_Rés_125,Réseau,TechPro,Moyen,Hiver,False,0.0,1432 days
CMD-Q1-00026,CLI0206,PRD0022,4.0,235.27,941.08,2024-03-20,retournée,Virement,Île-de-France,EUR,Q1_2024,2024,3,1,2,941.08,Lille,Île-de-France,Particulier,2022-04-14,Produit_Inf_22,Informatique,DataStore,Grand,Printemps,False,0.0,706 days
CMD-Q1-00027,CLI0104,PRD0149,5.0,123.18,615.9,2024-03-18,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,3,1,0,615.9000000000001,Lille,Occitanie,Particulier,2020-01-16,Produit_Rés_149,Réseau,ElecPlus,Grand,Printemps,False,0.0,1523 days
CMD-Q1-00028,CLI0495,PRD0054,9.0,124.37,1119.33,2024-02-13,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,1,1119.33,Nice,PACA,Startup,2021-12-09,Produit_Tél_54,Téléphonie,TechPro,Grand,Hiver,False,0.0,796 days
CMD-Q1-00029,CLI0438,PRD0110,3.0,126.57,379.71,2024-03-02,livrée,Chèque,PACA,EUR,Q1_2024,2024,3,1,5,379.71,Lyon,Occitanie,PME,2021-08-17,Produit_Sto_110,Stockage,ElecPlus,Moyen,Printemps,False,0.0,928 days
CMD-Q1-00030,CLI0072,PRD0089,5.0,93.09,465.45,2024-01-01,livrée,CB,PACA,EUR,Q1_2024,2024,1,1,0,465.45000000000005,Marseille,PACA,Particulier,2023-09-03,Produit_Acc_89,Accessoires,ElecPlus,Moyen,Hiver,False,0.0,120 days
CMD-Q1-00031,CLI0058,PRD0127,3.0,63.31,189.93,2024-02-22,livrée,CB,Occitanie,EUR,Q1_2024,2024,2,1,3,189.93,Paris,Occitanie,PME,2020-08-15,Produit_Rés_127,Réseau,MediaShop,Moyen,Hiver,False,0.0,1286 days
CMD-Q1-00032,CLI0276,PRD0109,4.0,18.3,73.2,2024-03-13,en_cours,CB,PACA,EUR,Q1_2024,2024,3,1,2,73.2,Marseille,Occitanie,Startup,2021-05-18,Produit_Sto_109,Stockage,TechPro,Petit,Printemps,False,0.0,1030 days
CMD-Q1-00033,CLI0342,PRD0109,5.0,18.3,91.5,2024-02-12,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,2,1,0,91.5,Marseille,PACA,Particulier,2021-09-11,Produit_Sto_109,Stockage,TechPro,Petit,Hiver,False,0.0,884 days
CMD-Q1-00034,CLI0207,PRD0012,7.0,295.77,2070.39,2024-02-24,livrée,Virement,PACA,EUR,Q1_2024,2024,2,1,5,2070.39,Nice,Nouvelle-Aquitaine,Particulier,2020-09-18,Produit_Inf_12,Informatique,TechPro,Très grand,Hiver,False,0.0,1254 days
CMD-Q1-00035,CLI0232,PRD0099,1.0,182.41,182.41,2024-03-12,livrée,Virement,PACA,EUR,Q1_2024,2024,3,1,1,182.41,Paris,Île-de-France,Startup,2021-04-07,Produit_Sto_99,Stockage,DataStore,Moyen,Printemps,False,0.0,1070 days
CMD-Q1-00036,CLI0309,PRD0046,5.0,69.9,349.5,2024-03-28,annulée,PayPal,Occitanie,EUR,Q1_2024,2024,3,1,3,349.5,Montpellier,PACA,Particulier,2022-05-14,Produit_Tél_46,Téléphonie,ElecPlus,Moyen,Printemps,True,349.5,684 days
CMD-Q1-00037,CLI0498,PRD0023,6.0,163.48,980.88,2024-01-28,livrée,CB,Île-de-France,EUR,Q1_2024,2024,1,1,6,980.8799999999999,Lyon,Nouvelle-Aquitaine,Particulier,2020-06-18,Produit_Inf_23,Informatique,TechPro,Grand,Hiver,False,0.0,1319 days
CMD-Q1-00038,CLI0173,PRD0093,4.0,62.68,250.72,2024-03-19,livrée,PayPal,Auvergne-RA,EUR,Q1_2024,2024,3,1,1,250.72,Toulouse,Île-de-France,PME,2023-05-28,Produit_Acc_93,Accessoires,ElecPlus,Moyen,Printemps,False,0.0,296 days
CMD-Q1-00039,CLI0337,PRD0022,7.0,235.27,1646.89,2024-03-22,livrée,CB,Île-de-France,EUR,Q1_2024,2024,3,1,4,1646.89,Strasbourg,Nouvelle-Aquitaine,PME,2023-07-27,Produit_Inf_22,Informatique,DataStore,Grand,Printemps,False,0.0,239 days
CMD-Q1-00040,CLI0401,PRD0004,2.0,42.82,85.64,2024-01-04,livrée,CB,Île-de-France,EUR,Q1_2024,2024,1,1,3,85.64,Paris,Auvergne-RA,Startup,2020-06-02,Produit_Inf_4,Informatique,DataStore,Petit,Hiver,False,0.0,1311 days
CMD-Q1-00041,CLI0299,PRD0123,4.0,71.91,287.64,2024-01-27,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,5,287.64,Bordeaux,Nouvelle-Aquitaine,Particulier,2023-02-24,Produit_Sto_123,Stockage,ElecPlus,Moyen,Hiver,False,0.0,337 days
CMD-Q1-00042,CLI0030,PRD0132,7.0,66.14,462.98,2024-01-30,livrée,Virement,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,1,462.98,Nice,PACA,Grand Compte,2022-10-25,Produit_Rés_132,Réseau,MediaShop,Moyen,Hiver,False,0.0,462 days
CMD-Q1-00043,CLI0237,PRD0090,7.0,80.66,564.62,2024-01-06,en_cours,CB,PACA,EUR,Q1_2024,2024,1,1,5,564.62,Paris,Occitanie,PME,2023-05-30,Produit_Acc_90,Accessoires,TechPro,Grand,Hiver,False,0.0,221 days
CMD-Q1-00044,CLI0155,PRD0094,6.0,167.61,1005.66,2024-02-08,retournée,CB,Occitanie,EUR,Q1_2024,2024,2,1,3,1005.6600000000001,Marseille,PACA,PME,2021-09-28,Produit_Acc_94,Accessoires,ElecPlus,Grand,Hiver,False,0.0,863 days
CMD-Q1-00045,CLI0171,PRD0135,3.0,112.71,338.13,2024-03-22,livrée,CB,Île-de-France,EUR,Q1_2024,2024,3,1,4,338.13,Lyon,Auvergne-RA,Particulier,2020-10-29,Produit_Rés_135,Réseau,MediaShop,Moyen,Printemps,False,0.0,1240 days
CMD-Q1-00046,CLI0450,PRD0022,8.0,235.27,1882.16,2024-02-13,annulée,CB,Île-de-France,EUR,Q1_2024,2024,2,1,1,1882.16,Nantes,Auvergne-RA,Particulier,2023-06-29,Produit_Inf_22,Informatique,DataStore,Grand,Hiver,True,1882.16,229 days
CMD-Q1-00047,CLI0442,PRD0009,1.0,58.82,58.82,2024-02-14,en_cours,Chèque,Occitanie,EUR,Q1_2024,2024,2,1,2,58.82,Paris,Auvergne-RA,Grand Compte,2020-02-23,Produit_Inf_9,Informatique,ElecPlus,Petit,Hiver,False,0.0,1452 days
